Faraday efficiency,Applied Potential (Faraday Efficiency),Applied Potential (NH3 Yield),Electrocatalyst,Elements of electrocatalyst_0,Elements of electrocatalyst_1,Elements of electrocatalyst_2,Elements of electrocatalyst_3,Elements of electrocatalyst_4,Elements of electrocatalyst_5,Elements of electrocatalyst_6,Morphology of electrocatalyst,Judge_Nanoparticles,Judge_3D,Judge_2D,Judge_1D,Judge_Urchin,Judge_SAC,Judge_Hollow,Judge_Core_Shell,Judge_alloy,Judge_Functionalized,Judge_heterostructures,Judge_COF,Judge_MOF,Judge_Hydroxide_Oxyhydroxide,Judge_Spinel,Judge_Perovskite,Judge_Prussian_Blue,Judge_Amorphous,Judge_Ultrasound,Judge_c3n4,Judge_MXene,Judge_Steel,Judge_Carbon_Cloth,Judge_Hydrothermal,Judge_Spray,Judge_Phys_Chem_Deposition,Judge_Electrochemical_Deposition,pH_acidic,pH_alkaline,pH_ionic liquid,pH_khco3,pH_li tfsi,pH_nabf4,pH_neutral,pH_weak acid,pH_nan,Electrolyte without concentration_h2so4,Electrolyte without concentration_hcl,Electrolyte without concentration_k2so4,Electrolyte without concentration_kclo4,Electrolyte without concentration_koh,Electrolyte without concentration_li2so4,Electrolyte without concentration_licl,Electrolyte without concentration_liclo4,Electrolyte without concentration_lioh,Electrolyte without concentration_na2so4,Electrolyte without concentration_naoh,Electrolyte without concentration_pbs,Electrolyte without concentration_nan,Yield_mg_edited,N-15 labeling_mentioned,Yield_cm_edited,N-15 labeling_nan,Yield_mg,Yield_cm,Element_0_atomic_number,Element_0_period,Element_0_group_number,Element_0_atomic_mass,Element_0_ionization_potential,Element_0_electronegativity,Element_0_ionization_energies,Element_0_electron_configuration,Element_0_atomic_radius,Element_1_atomic_number,Element_1_period,Element_1_group_number,Element_1_atomic_mass,Element_1_ionization_potential,Element_1_electronegativity,Element_1_ionization_energies,Element_1_electron_configuration,Element_1_atomic_radius,Element_2_atomic_number,Element_2_period,Element_2_group_number,Element_2_atomic_mass,Element_2_ionization_potential,Element_2_electronegativity,Element_2_ionization_energies,Element_2_electron_configuration,Element_2_atomic_radius,Element_3_atomic_number,Element_3_period,Element_3_group_number,Element_3_atomic_mass,Element_3_ionization_potential,Element_3_electronegativity,Element_3_ionization_energies,Element_3_electron_configuration,Element_3_atomic_radius,Element_4_atomic_number,Element_4_period,Element_4_group_number,Element_4_atomic_mass,Element_4_ionization_potential,Element_4_electronegativity,Element_4_ionization_energies,Element_4_electron_configuration,Element_4_atomic_radius,Element_5_atomic_number,Element_5_period,Element_5_group_number,Element_5_atomic_mass,Element_5_ionization_potential,Element_5_electronegativity,Element_5_ionization_energies,Element_5_electron_configuration,Element_5_atomic_radius,Element_6_atomic_number,Element_6_period,Element_6_group_number,Element_6_atomic_mass,Element_6_ionization_potential,Element_6_electronegativity,Element_6_ionization_energies,Element_6_electron_configuration,Element_6_atomic_radius
43.8,-0.2,-0.2,mo-o-c,Mo, O, C,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,248.6,1.0,,0.0,248.6 +/- 12.9 mu g h(-1) mg(cat.)(-1),,42,5,6,95.94,7.09243,2.16,"[7.09243, 16.16, 27.13, 40.33, 54.417, 68.82704, 125.638, 143.6, 164.12, 186.3, 209.3, 230.28, 279.1, 302.6, 544.0, 591.0, 646.0, 702.0, 758.0, 829.0, 890.0, 953.0, 1019.0, 1082.0, 1263.0, 1319.6, 1385.1, 1462.0, 1537.0, 1587.0, 1730.1, 1790.93, 4259.0, 4430.0, 4618.0, 4800.0, 5084.0, 5287.0, 5548.0, 5713.194, 23810.654, 24572.156]",[Kr].4d5.5s1,1.45,8.0,2.0,16.0,15.9994,13.618055,3.44,"[13.618055, 35.12112, 54.93554, 77.4135, 113.899, 138.1189, 739.32683, 871.409883]",[He].2s2.2p4,0.6,6.0,2.0,14.0,12.0107,11.260288,2.55,"[11.260288, 24.383154, 47.88778, 64.49352, 392.090518, 489.993198]",[He].2s2.2p2,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.34,-0.3,-0.35,fe-b/nc,Fe, B, N, C,,,,atomic dispersion,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.7,0.0,,1.0,88.7 mu g h(-1) mg(-1)cat,,26,4,8,55.845,7.9024681,1.83,"[7.9024681, 16.19921, 30.651, 54.91, 75.0, 98.985, 124.976, 151.06, 233.6, 262.1, 290.9, 330.8, 361.0, 392.2, 456.2, 489.312, 1262.7, 1357.8, 1460.0, 1575.6, 1687.0, 1798.4, 1950.4, 2045.759, 8828.1879, 9277.6818]",[Ar].3d6.4s2,1.4,5.0,2.0,13.0,10.811,8.298019,2.04,"[8.298019, 25.15483, 37.93059, 259.3715, 340.2260229]",[He].2s2.2p1,0.85,7.0,2.0,15.0,14.0067,14.53413,3.04,"[14.53413, 29.60125, 47.4453, 77.4735, 97.8901, 552.06733, 667.046121]",[He].2s2.2p3,0.65,6.0,2.0,14.0,12.0107,11.260288,2.55,"[11.260288, 24.383154, 47.88778, 64.49352, 392.090518, 489.993198]",[He].2s2.2p2,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.7,-0.3,-0.35,v2o5 nds,V, O,,,,,,nanodots,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,575.3,0.0,,1.0,575.3 mu g h-1 mg- 1,,23,4,5,50.9415,6.746187,1.63,"[6.746187, 14.634, 29.3111, 46.709, 65.28165, 128.125, 150.72, 173.55, 206.0, 230.5, 254.8, 308.5, 336.274, 896.0, 977.2, 1062.9, 1165.2, 1258.9, 1354.2, 1486.7, 1569.656, 6851.3109, 7246.1226]",[Ar].3d3.4s2,1.35,8.0,2.0,16.0,15.9994,13.618055,3.44,"[13.618055, 35.12112, 54.93554, 77.4135, 113.899, 138.1189, 739.32683, 871.409883]",[He].2s2.2p4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.15,-0.1,-0.1,a-FeMo,Fe, Mo,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,71.78,0.0,,1.0,71.78 mu g(NH3) mg(cat). (-1)h(-1),,26,4,8,55.845,7.9024681,1.83,"[7.9024681, 16.19921, 30.651, 54.91, 75.0, 98.985, 124.976, 151.06, 233.6, 262.1, 290.9, 330.8, 361.0, 392.2, 456.2, 489.312, 1262.7, 1357.8, 1460.0, 1575.6, 1687.0, 1798.4, 1950.4, 2045.759, 8828.1879, 9277.6818]",[Ar].3d6.4s2,1.4,42.0,5.0,6.0,95.94,7.09243,2.16,"[7.09243, 16.16, 27.13, 40.33, 54.417, 68.82704, 125.638, 143.6, 164.12, 186.3, 209.3, 230.28, 279.1, 302.6, 544.0, 591.0, 646.0, 702.0, 758.0, 829.0, 890.0, 953.0, 1019.0, 1082.0, 1263.0, 1319.6, 1385.1, 1462.0, 1537.0, 1587.0, 1730.1, 1790.93, 4259.0, 4430.0, 4618.0, 4800.0, 5084.0, 5287.0, 5548.0, 5713.194, 23810.654, 24572.156]",[Kr].4d5.5s1,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.2,-0.3,-0.35,janus wsese/wse2 heterostructure,W, Se, S,,,,,nanowalls,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.96,0.0,,1.0,15.96 mu g h-mgcat(-1),,74,6,6,183.84,7.86403,2.36,"[7.86403, 16.37, 26.0, 38.2, 51.6, 64.77, 122.01, 141.2, 160.2, 179.0, 208.9, 231.6, 258.3, 290.7, 325.3, 361.9, 387.9, 420.7, 462.1, 502.6, 543.4, 594.5, 640.6, 685.6, 734.1, 784.4, 833.4, 881.4, 1132.2, 1180.0, 1230.4, 1283.4, 1335.1, 1386.8, 1459.9, 1512.4, 1569.1, 1621.7, 1829.8, 1882.9, 1940.6, 1994.8, 2149.1, 2210.0, 2354.5, 2414.1, 4057.0, 4180.0, 4309.0, 4446.0, 4578.0, 4709.0, 4927.0, 5063.0, 5209.0, 5348.0, 5719.0, 5840.0, 5970.0, 6093.0, 6596.0, 6735.0, 7000.0, 7130.0, 15566.0, 15896.0, 16252.0, 16588.0, 18476.0, 18872.0, 19362.0, 19686.74, 79181.94, 80755.6]",[Xe].4f14.5d4.6s2,1.35,34.0,4.0,16.0,78.96,9.752392,2.55,"[9.752392, 21.196, 31.697, 42.947, 68.3, 81.83, 155.327, 184.0, 219.0, 255.0, 291.0, 342.9, 383.0, 426.0, 473.0, 517.0, 650.5, 693.4, 739.8, 798.0, 845.8, 887.0, 989.6, 1036.36, 2540.7, 2674.0, 2820.0, 2964.0, 3146.0, 3301.8, 3507.0, 3636.526, 15367.491, 15968.084]",[Ar].3d10.4s2.4p4,1.15,16.0,3.0,16.0,32.065,10.36001,2.58,"[10.36001, 23.33788, 34.86, 47.222, 72.5945, 88.0529, 280.954, 328.794, 379.84, 447.7, 504.55, 564.41, 651.96, 706.994, 3223.7807, 3494.1879]",[Ne].3s2.3p4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.8,-0.3,-0.35,feS2@GO,Fe, S, O,,,,,nanoparticles wrapped by graphene oxide,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.9,0.0,,1.0,27.9 mu g h(-1) mg(cat). (-1),,26,4,8,55.845,7.9024681,1.83,"[7.9024681, 16.19921, 30.651, 54.91, 75.0, 98.985, 124.976, 151.06, 233.6, 262.1, 290.9, 330.8, 361.0, 392.2, 456.2, 489.312, 1262.7, 1357.8, 1460.0, 1575.6, 1687.0, 1798.4, 1950.4, 2045.759, 8828.1879, 9277.6818]",[Ar].3d6.4s2,1.4,16.0,3.0,16.0,32.065,10.36001,2.58,"[10.36001, 23.33788, 34.86, 47.222, 72.5945, 88.0529, 280.954, 328.794, 379.84, 447.7, 504.55, 564.41, 651.96, 706.994, 3223.7807, 3494.1879]",[Ne].3s2.3p4,1.0,8.0,2.0,16.0,15.9994,13.618055,3.44,"[13.618055, 35.12112, 54.93554, 77.4135, 113.899, 138.1189, 739.32683, 871.409883]",[He].2s2.2p4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.02,-0.45,-0.35,Mn-N-C SAC,Mn, C,,,,,,ultrathin carbon nanosheets,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,,1.0,,,25,4,7,54.938045,7.434038,1.55,"[7.434038, 15.63999, 33.668, 51.21, 72.41, 95.604, 119.203, 195.5, 221.89, 248.6, 286.1, 314.4, 343.6, 402.95, 435.172, 1133.7, 1224.1, 1320.3, 1430.9, 1537.2, 1643.2, 1788.7, 1879.873, 8140.7872, 8571.9488]",[Ar].3d5.4s2,1.4,6.0,2.0,14.0,12.0107,11.260288,2.55,"[11.260288, 24.383154, 47.88778, 64.49352, 392.090518, 489.993198]",[He].2s2.2p2,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,-0.4,-0.4,fe-tio2,Fe, Ti, O,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.9,0.0,,1.0,30.9 & PLUSMN;0.4 & mu;g h(-1) mg(cat.) (-1),,26,4,8,55.845,7.9024681,1.83,"[7.9024681, 16.19921, 30.651, 54.91, 75.0, 98.985, 124.976, 151.06, 233.6, 262.1, 290.9, 330.8, 361.0, 392.2, 456.2, 489.312, 1262.7, 1357.8, 1460.0, 1575.6, 1687.0, 1798.4, 1950.4, 2045.759, 8828.1879, 9277.6818]",[Ar].3d6.4s2,1.4,22.0,4.0,4.0,47.867,6.82812,1.54,"[6.82812, 13.5755, 27.49171, 43.26717, 99.299, 119.533, 140.68, 170.5, 192.1, 215.92, 265.07, 291.5, 787.67, 864.0, 944.5, 1042.5, 1130.2, 1220.3, 1346.3, 1425.257, 6249.0226, 6625.8073]",[Ar].3d2.4s2,1.4,8.0,2.0,16.0,15.9994,13.618055,3.44,"[13.618055, 35.12112, 54.93554, 77.4135, 113.899, 138.1189, 739.32683, 871.409883]",[He].2s2.2p4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5,-0.6,-0.6,tiS2 NSs,Ti, S,,,,,,nanosheets,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.02,0.0,,1.0,16.02 mu g h(-1) mg(cat)(-1),,22,4,4,47.867,6.82812,1.54,"[6.82812, 13.5755, 27.49171, 43.26717, 99.299, 119.533, 140.68, 170.5, 192.1, 215.92, 265.07, 291.5, 787.67, 864.0, 944.5, 1042.5, 1130.2, 1220.3, 1346.3, 1425.257, 6249.0226, 6625.8073]",[Ar].3d2.4s2,1.4,16.0,3.0,16.0,32.065,10.36001,2.58,"[10.36001, 23.33788, 34.86, 47.222, 72.5945, 88.0529, 280.954, 328.794, 379.84, 447.7, 504.55, 564.41, 651.96, 706.994, 3223.7807, 3494.1879]",[Ne].3s2.3p4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.3,-0.3,-0.35,sn-ceo2-x,Sn, Ce, O,,,,,nanorods,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.1,0.0,,1.0,41.1 mu g mgcat-1 h-1,,50,5,14,118.71,7.343918,1.96,"[7.343918, 14.63307, 30.506, 40.74, 77.03, 94.0, 112.9, 135.0, 156.0, 184.0, 208.0, 232.0, 258.0, 282.0, 379.0, 407.0, 437.0, 466.0, 506.0, 537.0, 608.0, 642.35, 1127.0, 1195.0, 1269.0, 1347.0, 1421.0, 1508.0, 1596.0, 1676.0, 1763.0, 1844.0, 2074.0, 2142.1, 2227.0, 2326.0, 2443.0, 2499.0, 2687.0, 2762.49, 6421.0, 6631.0, 6859.0, 7080.0, 7531.0, 7790.0, 8103.0, 8306.95, 34257.143, 35192.39]",[Kr].4d10.5s2.5p2,1.45,58.0,6.0,3.0,140.116,5.5386,1.12,"[5.5386, 10.956, 20.1974, 36.906, 65.55, 77.6, 91.0, 106.0, 125.0, 140.0, 172.0, 192.24, 312.0, 340.0, 371.0, 403.0, 435.0, 472.0, 509.0, 543.0, 579.0, 613.0, 749.0, 785.0, 824.0, 862.0, 924.0, 965.0, 1060.0, 1103.5, 1908.0, 1994.0, 2087.0, 2185.0, 2280.0, 2378.0, 2500.0, 2600.0, 2706.0, 2806.0, 3087.0, 3176.0, 3274.0, 3366.0, 3570.0, 3672.0, 3865.0, 3963.0, 9020.0, 9269.0, 9545.0, 9803.0, 10542.0, 10840.0, 11210.0, 11459.85, 46840.306, 47965.72]",[Xe].4f1.5d1.6s2,1.85,8.0,2.0,16.0,15.9994,13.618055,3.44,"[13.618055, 35.12112, 54.93554, 77.4135, 113.899, 138.1189, 739.32683, 871.409883]",[He].2s2.2p4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
